,content
0,"Mission
"
1,"Theo đuổi hạnh phúc cho toàn thể nhân viên, mang đến dịch vụ tốt nhất cho khách hàng, nâng tầm chất lượng Việt Nam.
"
2,"Vision - Mục tiêu 2024
"
3,"Trở thành một tổ chức với 1000 người cung cấp giải pháp chuyển đổi số có chất lượng cho khách hàng
"
4,"Trên con đường dài hướng tới mục tiêu: ""Theo đuổi hạnh phúc cho toàn thể nhân viên, mang đến dịch vụ tốt nhất cho khách hàng, nâng tầm chất lượng Việt Nam""
"
5,"Vision 2024 được vạch ra với niềm tin rằng: việc tăng trưởng về số lượng nhân sự sẽ là một hướng đi giúp mọi người có được không gian để phát triển bản thân hoàn thiện hơn, trở thành những Global Citizen, Global Manager và hơn thế nữa.
"
6,"Core Value
"
7,"Các Core Value của HBLAB
"
8,"Trách nhiệm sâu sát với công việc: Trách nhiệm là khi được giao bất kỳ việc gì dù to hay nhỏ, khó hay dễ, cũng mang tất cả tâm hồn của mình vào công việc làm đến nơi đến chốn, vượt mọi khó khăn để làm cho thành công.
"
9,"Chân thành: Chân thành là thành thật, lương thiện và thực tế với đồng nghiệp, khách hàng, những người xung quanh. Hơn tất cả chân thành là sống thật với chính bản thân mình.
"
10,"Chia sẻ: Chia sẻ là cùng nhau gánh vác công việc, cùng nhau hưởng thụ thành quả đó. Hơn thế nữa là cùng nhau chia sẻ niềm vui, nỗi buồn.
"
11,"Liên tục Học Tập và đổi mới: Liên tục học tập vào đổi mới là mỗi thành viên, công ty phải liên tục cập nhật và tiếp thu tri thức mới. Coi học tập và đổi mới là năng lực cạnh tranh cốt lõi của doanh nghiệp.
"
12,"Cơ cấu tổ chức
"
13,"Cơ cấu tổ chức của HBLAB Việt Nam là tổng hợp các bộ phận (đơn vị, cá nhân) có mối liên hệ phụ thuộc lẫn nhau, được chuyên môn hoá và có những trách nhiệm, quyền hạn nhất định. Các bộ phận được bố trí thành các cấp khác nhau nhằm thực hiện các chức năng quản trị và phục vụ mục tiêu chung của tổ chức.
"
14,"Hướng dẫn sử dụng logo và tên công ty
"
15,"https://wiki.hblab.vn/img_auth.php/H%C6%AF%E1%BB%9ANG_D%E1%BA%AAN_S%E1%BB%AC_D%E1%BB%A4NG_T%C3%8AN_V%C3%80_LOGO_HBLAB.pdf
"
16,"HBLAB Wiki là gì?
"
17,"Sự ra đời của 𝐰𝐢𝐤𝐢.𝐡𝐛𝐥𝐚𝐛.𝐯𝐧 với niềm tin rằng các thông tin mà chúng ta đã và đang trao đổi với nhau sẽ được tối ưu giá trị nhất có thể.
"
18,"Trước kia, chúng ta hay nhận được các thông tin truyền thông qua kênh chat là chủ yếu, việc này tồn tại nhiều bất cập như dễ bị lẫn lộn, khó tìm kiếm... Vì vậy sự ra đời của trang 𝐰𝐢𝐤𝐢.𝐡𝐛𝐥𝐚𝐛.𝐯𝐧 đầu tiên là nhằm khắc phục điểm bất cập này.
"
