label,raw text
Mission,"Theo đuổi hạnh phúc cho toàn thể nhân viên, mang đến dịch vụ tốt nhất cho khách hàng, nâng tầm chất lượng Việt Nam."
"Tầm nhìn, mục tiêu 2024","Trở thành một tổ chức với 1000 người cung cấp giải pháp chuyển đổi số có chất lượng cho khách hàng. Trên con đường dài hướng tới mục tiêu: ""Theo đuổi hạnh phúc cho toàn thể nhân viên, mang đến dịch vụ tốt nhất cho khách hàng, nâng tầm chất lượng Việt Nam""

Vision 2024 được vạch ra với niềm tin rằng: việc tăng trưởng về số lượng nhân sự sẽ là một hướng đi giúp mọi người có được không gian để phát triển bản thân hoàn thiện hơn"
Core value của HBLab,"Trách nhiệm sâu sát với công việc: Trách nhiệm là khi được giao bất kỳ việc gì dù to hay nhỏ, khó hay dễ, cũng mang tất cả tâm hồn của mình vào công việc làm đến nơi đến chốn, vượt mọi khó khăn để làm cho thành công.
Chân thành: Chân thành là thành thật, lương thiện và thực tế với đồng nghiệp, khách hàng, những người xung quanh. Hơn tất cả chân thành là sống thật với chính bản thân mình.
Chia sẻ: Chia sẻ là cùng nhau gánh vác công việc, cùng nhau hưởng thụ thành quả đó. Hơn thế nữa là cùng nhau chia sẻ niềm vui, nỗi buồn.
Liên tục Học Tập và đổi mới: Liên tục học tập vào đổi mới là mỗi thành viên, công ty phải liên tục cập nhật và tiếp thu tri thức mới. Coi học tập và đổi mới là năng lực cạnh tranh cốt lõi của doanh nghiệp."
Cơ cấu tổ chức,"Cơ cấu tổ chức của HBLAB Việt Nam là tổng hợp các bộ phận (đơn vị, cá nhân) có mối liên hệ phụ thuộc lẫn nhau, được chuyên môn hoá và có những trách nhiệm, quyền hạn nhất định. Các bộ phận được bố trí thành các cấp khác nhau nhằm thực hiện các chức năng quản trị và phục vụ mục tiêu chung của tổ chức.
"
Hướng dẫn sử dụng logo và tên công ty,https://wiki.hblab.vn/img_auth.php/H%C6%AF%E1%BB%9ANG_D%E1%BA%AAN_S%E1%BB%AC_D%E1%BB%A4NG_T%C3%8AN_V%C3%80_LOGO_HBLAB.pdf
HBLAB Wiki là gì?,"Sự ra đời của 𝐰𝐢𝐤𝐢.𝐡𝐛𝐥𝐚𝐛.𝐯𝐧 với niềm tin rằng các thông tin mà chúng ta đã và đang trao đổi với nhau sẽ được tối ưu giá trị nhất có thể.


Trước kia, chúng ta hay nhận được các thông tin truyền thông qua kênh chat là chủ yếu, việc này tồn tại nhiều bất cập như dễ bị lẫn lộn, khó tìm kiếm... Vì vậy sự ra đời của trang 𝐰𝐢𝐤𝐢.𝐡𝐛𝐥𝐚𝐛.𝐯𝐧 đầu tiên là nhằm khắc phục điểm bất cập này.

Muốn tìm lại một nội dung thông báo nào đó của đội LnD, của Phòng HCNS hay của các câu lạc bộ Đá Bóng, Cầu Lông... thật là khó khăn, chúng ta sẽ phải hỏi hết người này tới người khác mà cũng chưa chắc đã có câu trả lời đầy đủ. Việc tìm kiếm tin nhắn trên chatwork thì không mang nhiều hi vọng, còn việc nhớ ra tên nhóm rồi vào mục mô tả nhóm để tìm trong 1 loạt link đính kèm nghe cũng không khả thi hơn lắm.

Chúng ta đã viết rất nhiều trên các nền tảng chat, nhưng sự hiệu quả của nó nhanh chóng bị dòng thời gian nhấn chìm, giờ là lúc chúng ta cần tối ưu lại giá trị cho những thứ chúng ta dầy công tạo ra.


Nhưng đó vẫn chưa phải là mục tiêu cuối cùng cho sự ra đời của 𝐰𝐢𝐤𝐢.𝐡𝐛𝐥𝐚𝐛.𝐯𝐧. Chúng ta sắp bước sang tuổi thứ 6, thế nhưng những ký ức về 6 năm trước đâu đó chỉ thỉnh thoảng xuất hiện trong những câu truyện đơn lẻ mà một vài người biết đến. 6 Tuổi là lúc một đứa trẻ tập viết, còn với một doanh nghiệp thì cũng không còn sớm để bắt đầu viết lại những hoạt động của mình một cách chuẩn chỉ hơn.

Nếu ai đó đã vào 𝐰𝐢𝐤𝐢.𝐡𝐛𝐥𝐚𝐛.𝐯𝐧 sẽ đều thấy mình có quyền thao tác(thêm, sửa, xóa) với bất kỳ bài viết nào, Nhưng hiện tại đa số mọi người chỉ dừng lại mức độ là xem. Hãy nhớ rằng wiki là nơi lưu giữ tri thức của mọi người, hãy tự t͟h͟ê͟m͟ những thứ chưa có, hãy s͟ử͟a͟ những gì đang chưa đúng (và hãy c͟h͟ắ͟c͟ ͟c͟h͟ắ͟n͟ về điều đó). Hãy tưởng tượng 4 năm sau khi Cty lên 1000 người chúng ta sẽ có được những câu truyện được số hóa từ hàng trăm cây bút trong công ty viết về cách mà chúng đã đi đến được ngày hôm đó: Hóa ra ngày đó quy trình như này à? hóa ra ngày đó có khóa Global Citizen với mấy module như này à? Sẽ còn rất nhiều thứ để kể về nữa.


Hỡi những người anh em HBLAB, trước khi đặt phím viết những thông tin mang giá trị lâu dài dành cho 1 nhóm người hãy nhớ tới chúng ta có 𝐰𝐢𝐤𝐢.𝐡𝐛𝐥𝐚𝐛.𝐯𝐧: viết đẹp hơn, lưu trữ lâu hơn, tìm kiếm và chia sẻ hiệu quả hơn..."
Hướng dẫn tạo 1 bài viết trên HBLAB Wiki,"Tạo bài viết thông qua search box
Điền tiêu đề của bài viết vào ô tìm kiếm (như hình bên phải), khi bạn điền hệ thống sẽ tự động lấy ra những bài viết gần với tiêu đề đó. Nếu nó có rồi thì bạn không nên tạo mới, mà hãy kiếm tra xem có cần thay đổi gì không?

Nếu chưa có bài viết nào, thì màn hình sau sẽ xuất hiện.

Create topic.png
Như hình bên cạnh, chưa có bài viết nào ""Hướng dẫn tạo 1 bài viết trên HBLAB Wiki"", bạn click vào ""Hướng dẫn tạo 1 bài viết trên HBLAB Wiki"", để đi đến trang tạo bài viết này.

Chú ý: Tiêu đề sẽ ko sửa được ở trong trang tạo bài viết.
Cách sử dụng trình soạn thảo(VisualEditor)
1. Insert: có thể thêm ảnh/video, thêm các template, thêm table ..
    Các tuỳ chọn cho page: thêm category, short link, tạo language cho bài viết(1 bài viết có thể tạo nhiều ngôn ngữ, và người xem có thể chuyển sang các ngôn ngữ khác nhau được) ..
    Để chuyển chế độ viết bài, có 2 chế độ :
2. VisualEditing: giao diện trực quan
3. Source Editing: Sửa theo cách code, có nhiều thành phần phải thêm thông qua tính năng này mà ko thể thêm ở giao diện của Visual Editing
4. Save page: Thêm summary, có thể preview bài viết trước"
Các chức năng của trình soạn thảo,"Các chức năng cơ bản
Ở menu trên từ trái qua phải:

- Paragraph: Set style cho đoạn text: Paragraph, Heading,...

- A: Thay đổi phông chữ, kích thước ...

- Link: Chèn link vào bài viết, những link không phải trong web này sẽ được mở ở tab mới khi click vào

- Numbered List: Đánh thứ tự

- Insert: chèn ảnh, video, biểu đồ, table, thư viện hình ảnh ... ngoài ra có thể chèn code vào để có màu sắc tương ứng để nhìn thì dùng Insert -> Code block

- Special Character: chèn các ký tự đặc biệt

- Help:

- Notice: Các thông báo

- Options: thiết lập các thuôc tính cho bài viết, như category, short url ...

- Editing Mode: có 2 mode là Source Editing dùng để chèn code, Visual Editing dùng để chỉnh sửa trên giao diện
Các tính năng phải dùng mode Source Editing
<pre> </pre>
Dùng để chèn code vào

<!-- This is a comment -->


Dùng để comment trong Edit mode, nó sẽ không hiển thị trên bài viết


Ngoài ra còn có các phần định dạng khác, bạn có thể xem tại đây: https://www.mediawiki.org/wiki/Help:Formatting"
Nhúng Google Docs,"Khi chúng ta viết bài trên wiki có khi chúng ta muốn nhúng 1 tài liệu Google Docs : Google Sheet, Document vào trong bài viết thì chúng ta có thể sử dụng cách sau

Chèn Google �Sheet
sử dụng trình Source Editing và chèn mã code dưới đây

<googlespreadsheet width=""600"" height=""200"">Google Docs' key goes here</googlespreadsheet>

[Google Docs' key] lấy ở trên link của file

Chi tiết có thể xem thêm tại đây

Chèn Google Document
sử dụng trình Source Editing và chèn mã code dưới đây

<gdoc id=""your-google-doc-id"" width=""800"" height=""600"" />

[google-doc-id] lấy ở trên link của file

Chi tiết có thể xem tại đây"
Chèn biểu đồ vào bài viết,"Để chèn biểu đồ vào bài viết, chúng ta có 2 cách dưới đây

Export biểu ra ảnh rồi chèn vào
Có nhiều công cụ miễn phí hỗ trợ chúng ta tạo ra biểu đồ, sau đó export ra file ảnh, và có thể chèn vào bài viết này. Ví dụ các công cụ hay được sử dụng: draw.io, cacoo ...

Dùng code bằng PlantUML
Hiện tại HBLAB Wiki đã tích hợp PlantUML để có thể vẽ được các biểu đồ UML, để có thể dễ dàng chỉnh sửa mà không cần phải vào các tool bên thứ 3 khác.

Đã có 1 bài viết chi tiết về cách vẽ biểu đồ bằng PlantUML ở đây: Vẽ biểu đồ sequence diagram, activity diagram ... bằng PlantUML

Để có thể chèn được code plantUML, thì cần phải chuyển trình soạn thảo sang chế độ Source Editing

Source Editing.png
Sau khi chuyển sang chế độ Source Editing, để chèn code plantUML vào thì cần phải để code vào trong thẻ `<uml>` như dưới đây:

<uml>

</uml>
Ví dụ đơn giản:

<uml>
Alice -> Bob: Authentication Request
Bob --> Bob: Check
Bob --> Alice: Authentication Response
</uml>"
Upload file và chèn vào bài viết,"Có 2 cách để upload file

Thông qua trang quản lý file
Upload fileUp.png
Vào trang Upload file: chọn file cần upload, sau đó điền tên file và mô tả về file đấy, để cho việc tìm kiếm dễ dàng.
Click vào ""list of uploaded files"" để xem những file đã được upload lên




Thông qua tính năng của trình soạn thảo
Upload file editor.png.png
Vào Insert -> Images and media: chọn file cần upload lên, điền thông tin đầy đủ rồi upload file.


Ở đây cũng có thể tìm những file đã up lên và chèn vào bài viết."
